AirlineID,Name,IATA,ICAO,Callsign,Country,Active
1,Private flight,N/A,N/A,N/A,N/A,Y
2,135 Airways,N/A,GNL,GENERAL,United States,N
3,1Time Airline,1T,RNX,NEXTIME,South Africa,Y
4,2 Sqn No 1 Elementary Flying Training School,N/A,WYT,N/A,United Kingdom,N
5,213 Flight Unit,N/A,TFU,N/A,Russia,N
6,223 Flight Unit State Airline,N/A,CHD,CHKALOVSK-AVIA,Russia,N
7,224th Flight Unit,N/A,TTF,CARGO UNIT,Russia,N
8,247 Jet Ltd,N/A,TWF,CLOUD RUNNER,United Kingdom,N
9,3D Aviation,N/A,SEC,SECUREX,United States,N
10,40-Mile Air,Q5,MLA,MILE-AIR,United States,Y
11,4D Air,N/A,QRT,QUARTET,Thailand,N
12,611897 Alberta Limited,N/A,THD,DONUT,Canada,N
13,Ansett Australia,AN,AAA,ANSETT,Australia,Y
14,Abacus International,1B,N/A,N/A,Singapore,Y
15,Abelag Aviation,W9,AAB,ABG,Belgium,N
16,Army Air Corps,N/A,AAC,ARMYAIR,United Kingdom,N
17,Aero Aviation Centre Ltd.,N/A,AAD,SUNRISE,Canada,N
18,Aero Servicios Ejecutivos Internacionales,N/A,SII,ASEISA,Mexico,N
19,Aero Biniza,N/A,BZS,BINIZA,Mexico,N
20,Aero Albatros,N/A,ABM,ALBATROS ESPANA,Spain,N
21,Aigle Azur,ZI,AAF,AIGLE AZUR,France,Y
22,Aloha Airlines,AQ,AAH,ALOHA,United States,Y
23,Alaska Island Air,N/A,AAK,ALASKA ISLAND,United States,N
24,American Airlines,AA,AAL,AMERICAN,United States,Y
25,Aviation Management Corporation,N/A,AAM,AM CORP,United States,N
26,Atlantis Airlines (USA),N/A,AAO,ATLANTIS AIR,United States,N
27,Aerovista Airlines,N/A,AAP,AEROVISTA GROUP,United Arab Emirates,N
28,Asiana Airlines,OZ,AAR,ASIANA,Republic of Korea,Y
29,Askari Aviation,4K,AAS,AL-AAS,Pakistan,Y
30,Australia Asia Airlines,N/A,AAU,AUSTASIA,Australia,N
31,Astro Air International,N/A,AAV,ASTRO-PHIL,United States,N
32,Afriqiyah Airways,8U,AAW,AFRIQIYAH,Libya,Y
33,Afrinat International Airlines,Q9,AFU,N/A,Gambia,N
34,Afric'air Express,N/A,AAX,AFREX,Ivory Coast,N
35,Allegiant Air,G4,AAY,ALLEGIANT,United States,Y
36,Angus Aviation,N/A,AAZ,ANGUS,Canada,N
37,Artem-Avia,N/A,ABA,ARTEM-AVIA,Ukraine,N
38,African Business and Transportations,N/A,ABB,AFRICAN BUSINESS-,Democratic Republic of the Congo,N
39,Aban Air,K5,ABE,ABAN,Iran,n
40,Aerial Oy,N/A,ABF,SKYWINGS,Finland,N
41,Abakan-Avia,N/A,ABG,ABAKAN-AVIA,Russia,N
42,ABSA - Aerolinhas Brasileiras,M3,TUS,ABSA Cargo,Brazil,Y
43,Abaet,N/A,ABJ,Abaet,Brazil,N
44,Alberta Citylink,N/A,ABK,ALBERTA CITYLINK,Canada,N
45,APSA Colombia,N/A,ABO,AEROEXPRESO,Colombia,N
46,Aerovias Bueno,N/A,ABU,AEROBUENO,Colombia,N
47,Aerocenter,N/A,ACR, Escuela de Formacion de Pioltos Privados de Avion,AEROCENTER,N
48,Antrak Air,04,ABV,ANTRAK,Ghana,N
49,Airborne Express,GB,ABX,ABEX,United States,N
50,ABX Air,GB,ABX,ABEX,United States,N
51,ATA Brasil,N/A,ABZ,ATA-BRAZIL,Brazil,N
52,Avcard Services,N/A,ACC,N/A,United Kingdom,N
53,Academy Airlines,N/A,ACD,ACADEMY,United States,N
54,Aero Comondu,N/A,ACO,AERO COMONDU,Mexico,N
55,Astral Aviation,8V,ACP,ASTRAL CARGO,Kenya,Y
56,Air Cess,N/A,ACS,N/A,Liberia,N
57,Air Aurora,N/A,AAI,BOREALIS,United States,N
58,Air Cargo Transportation System,N/A,ACU,AFRISPIRIT,Kenya,N
59,Air Charter Service,N/A,ACV,N/A,United Kingdom,N
60,Aero Asia International,E4,RSO,AERO ASIA,Pakistan,N
61,Air Charters,N/A,ACX,PARAIR,Canada,N
62,Air Togo,YT,TGA,AIR TOGO,Togo,N
63,Air Somalia,N/A,RSM,AIR SOMALIA,Somali Republic,N
64,Atlas Cargo Lines,N/A,ACY,ATLAS CARGOLINES,Morocco,N
65,Airservices Australia,N/A,ADA,AUSCAL,Australia,N
66,Advance Leasing Company,4G,N/A,N/A,United States,N
67,Aztec Worldwide Airlines,7A,N/A,N/A,United States,N
68,Air Tindi,8T,N/A,N/A,Canadian Territories,Y
69,Antonov Airlines,N/A,ADB,ANTONOV BUREAU,Ukraine,N
70,Air Atlantic Dominicana,N/A,ADC,ATLAN-DOMINICAN,Dominican Republic,N
71,Advanced Air Co.,N/A,ADD,N/A,Japan,N
72,Ada Air,ZY,ADE,ADA AIR,Albania,Y
73,Aerea Flying Training Organization,N/A,ADG,AEREA TRAINING,Spain,N
74,Audeli Air,N/A,ADI,AUDELI,Spain,N
75,Abicar,N/A,ADJ,ABICAR,Ivory Coast,N
76,ADC Airlines,Z7,ADK,ADCO,Nigeria,N
77,Aero Dynamics,N/A,ADL,COTSWOLD,United Kingdom,N
78,Aerolineas Dominicanas,N/A,ADM,DOMINAIR,Dominican Republic,N
79,Aerodienst GmbH,N/A,ADN,AERODIENST,Germany,N
80,Aerodiplomatic,N/A,ADP,AERODIPLOMATIC,Mexico,N
81,Aerodyne,N/A,ADY,AERODYNE,United States,N
82,Avion Taxi,N/A,ADQ,AIR DATA,Canada,N
